acronym,affiliation_id,affiliation_name,alternate_names,affiliation_type,side_hint,race_or_membership_hint,status_2003,website,contact_names,recruitment_notes,description_notes,source_context,review_status
,arda_s_army,Arda's Army,,army_or_company,unknown,,active_or_recruiting,,Xury,"If interested, give Xury a tell.",Player-organised army/group. Entry consists mainly of member list.,Copied player-organised clan/guild webpage content; webpage described as current in 2003.,candidate
,army_of_arda,Army of Arda,,army_or_company,unknown,,unknown,,,,Entry appears as heading only in copied content.,Copied player-organised clan/guild webpage content; webpage described as current in 2003.,needs_context
AoA,army_of_arthedain,Army of Arthedain,,army_or_company,Free Peoples,Arthedain/homeland defence; semi-RP,active_or_recruiting,http://www.hot.ee/aoa,Ilwin; Harduin; Höelun; Röxic; Tendor,Ask council member for information or membership.,Semi-RP group focused on protecting Arthedain; described as young and growing.,Copied player-organised clan/guild webpage content; webpage described as current in 2003.,candidate
,black_shadow_clan,Black Shadow Clan,,clan,Minions of Sauron,Sauron-aligned killer clan,active_selective,http://blackshadowclan.mine.nu/,OscarMeyer,Most applicants are not accepted; must serve Sauron and distinguish themselves as killers.,Highly selective Sauron-aligned clan.,Copied player-organised clan/guild webpage content; webpage described as current in 2003.,candidate
BOTS,the_brotherhood_of_the_squirrel,The Brotherhood of the Squirrel,BOTS,brotherhood,unknown,,active_or_recruiting,,Njaa; Juss; Amelo; Aldar,"Contact Njaa, Juss, Amelo, or Aldar.",Listed as BOTS - The Brotherhood of the Squirrel.,Copied player-organised clan/guild webpage content; webpage described as current in 2003.,candidate
,carrock_of_anduin,Carrock of Anduin,,clan_or_company,Free Peoples,Beorning of any level/class,active_or_recruiting,,Ethoe,Beorning of any level/class; contact Ethoe.,Beorning group formed for protection and future attacks against Sauron’s forces.,Copied player-organised clan/guild webpage content; webpage described as current in 2003.,candidate
,damage_inc,Damage Inc.,,clan,Minions of Sauron,Orc smiters; max strength/constitution and almost max will,closed_to_new_members,,,No longer accepting new members.,Mercenary orc smiter clan; names/whois inspired by Metallica song.,Copied player-organised clan/guild webpage content; webpage described as current in 2003.,candidate
,dead_horse_squad,Dead Horse Squad,,squad,unknown,,growing,,Euronymous,Contact Euronymous.,Very short entry: growing.,Copied player-organised clan/guild webpage content; webpage described as current in 2003.,candidate
,durin_s_army,Durin's Army,,army_or_company,Free Peoples,Dwarven/Durin-themed; invitation only,active_selective,,Líëf O'le; Nari Khórad; Fari Khórad,Membership by invitation only.,"Founded to combat evil in Arda; leadership roles listed as Chieftain, Chancellor, Warmaster.",Copied player-organised clan/guild webpage content; webpage described as current in 2003.,candidate
,durin_s_house,Durin's House,Thorin's Tribe,house_or_clan,Free Peoples,Dwarf; loyalty to King Thorin Oakenshield; level and incognito rules mentioned,active_selective,,Brawn; Bruni; Shwash; Thror,Accepted by application/invitation; unknown new members usually level 50+; known members from level 40+.,"Dwarven house/clan, originally Thorin's Tribe, later renamed Durin's House.",Copied player-organised clan/guild webpage content; webpage described as current in 2003.,candidate
FTTD,friends_to_the_death,Friends to the Death,FTTD Army,army_or_company,Free Peoples,,active_or_recruiting,,Alohran; Garou; Krl,Swear to protect Arda and FTTD members; follow Alohran's leadership; contact Alohran or his whois-listed family members.,"Formed before Nasty Mewlip's Inn by Garou, Krl, and Alohran.",Copied player-organised clan/guild webpage content; webpage described as current in 2003.,candidate
,the_hand_of_sauron,The Hand of Sauron,Hand of Sauron; The Hand,clan_or_order,Minions of Sauron,Evil Orc; roleplaying evil; snagas excluded,active_selective,,Diamonium Dagamatri,High qualifications; Ambassador recruits and grants appropriate titles.,"Orc Caves/Sauron-aligned clan/order. Only Diamonium is listed as a member in the copied text; Sauron/Loremaster and Eye/Mouth/Right Hand/Left Hand are title/lore references, not member rows.",Copied player-organised clan/guild webpage content; webpage described as current in 2003.,candidate
,scouts_of_rivendell,Scouts of Rivendell,,scout_company,Free Peoples,Scout; level 13+; Rivendell citizenship,active_or_recruiting,,Jedgron; Letholes; Lang; Fathra,"Legitimate scout, level 13 or higher, with Rivendell citizenship; contact listed members.",Imladris/Rivendell defence and xp/pk/pbs group; semi to heavy RP; seeking alliances.,Copied player-organised clan/guild webpage content; webpage described as current in 2003.,candidate
,riders_of_rohan,Riders of Rohan,,clan_or_company,Free Peoples,Rohan/southern army theme,active_selective,http://riders.kalka.org,Rohwan; Nian,Members invited only by Rohwan and Nian.,Founded by Rohwan and Nian; honour/society/army of the south against Sauron.,Copied player-organised clan/guild webpage content; webpage described as current in 2003.,candidate
7th,the_seventh_battalion,The Seventh Battalion,Seventh Battalion; 7th Tumunzahar Battalion; The 7th Battalion,battalion,Free Peoples,Dwarf,active_but_declined,http://www.geocities.com/the7thbattalion/,,"Must be a dwarf; ask an officer; put Foot Soldier, 7th Tumunzahar Battalion in whois/title.","Formed in 2000; less organised by 2003, with many leaders inactive.",Copied player-organised clan/guild webpage content; webpage described as current in 2003.,candidate
SST,shire_shock_troops,Shire Shock Troops,SST,fun_clan,Free Peoples,Hobbit/other unexpected-skill characters,retired,,Trapano; Vincenzo; Whity; Rippin,For-fun group; affiliation shown by SST-style title.,Retired fun clan for unexpected skills and humour; began in first half of MUME VII.,Copied player-organised clan/guild webpage content; webpage described as current in 2003.,candidate
TKS,troll_kamikaze_squadron,Troll Kamikaze Squadron,TKS,squadron,Minions of Sauron,Troll,retired,,Zed,,Retired troll group; copied entry says the listed members are incomplete.,Copied player-organised clan/guild webpage content; webpage described as current in 2003.,candidate
