source_whois_id,source_character_id,source_character_name,whois_descriptor,whois_text_excerpt,possible_guild_or_clan,evidence_type,evidence_excerpt,confidence,needs_review
whois_aeruscator_1780832560,,Aeruscator,Half-elven Healer,"Aeruscator the Merchant [AKM] is a level thirty-six Half-elven
    Healer [Retired].
Last login 22 years, 3 months, and 30 days ago from [numerical
    address].

  Once a great merchant (480 hours spent trading), retired from business after
rent change and gone to Lost Realms - maybe until end of legendhome (merchant
house) building, maybe until MUME becomes less difficult and tedious to play,
maybe forever. If gods of this game finally decide to make legend eq cost as
much as it should - real prices for eq (set by players' offer and demand) can
be found here: http://gray.khimki.ru/MAIN/GUILD.HTM (guild prices).

  Lauren: 27,127 (just before retirement). And yes, this is absolute
MUME record of gold amount on mortal player, since begin
…",,group_keyword_line,"house) building, maybe until MUME becomes less difficult and tedious to play,",medium,yes
whois_aeruscator_1780832560,,Aeruscator,Half-elven Healer,"…
trading), retired from business after
rent change and gone to Lost Realms - maybe until end of legendhome (merchant
house) building, maybe until MUME becomes less difficult and tedious to play,
maybe forever. If gods of this game finally decide to make legend eq cost as
much as it should - real prices for eq (set by players' offer and demand) can
be found here: http://gray.khimki.ru/MAIN/GUILD.HTM (guild prices).

  Lauren: 27,127 (just before retirement). And yes, this is absolute
MUME record of gold amount on mortal player, since beginning of MUME.",,group_keyword_line,be found here: http://gray.khimki.ru/MAIN/GUILD.HTM (guild prices).,medium,yes
whois_agonor_1780899107,char_agonor,Agonor,Dwarven Battlemaster,"Agonor Battlesoul, Guardian of Helm's Deep is a level fifty-four
    Dwarven Battlemaster [Retired].
Last login 15 years, 5 months, and 3 days ago from *.com.",,group_keyword_line,"Agonor Battlesoul, Guardian of Helm's Deep is a level fifty-four",low,yes
whois_alderik_1780899163,char_alderik,Alderik,Elf,"Alderik Frystar, The Crazy Idiot is an Elf [Retired].
Last login 3 years, 6 months, and 20 days ago.
The first with his groupmembers to tame a twisted beast! But doing it so
slowly Fror ran out of time snooping us at the gateguards.",,group_keyword_line,slowly Fror ran out of time snooping us at the gateguards.,low,yes
whois_ali_1780899254,char_ali,Ali,Firebeard Battlemaster,"Ali G in da house is a level fifty-eight Firebeard Battlemaster
    [Retired].
seswseneee
wwsswwnwnwn

nseenesnew",,group_keyword_line,Ali G in da house is a level fifty-eight Firebeard Battlemaster,medium,yes
whois_ambolt_1780899314,char_ambolt,Ambolt,Dwarf,"Ambolt HO! is a Dwarf [Retired].
Last login 17 years, 1 month, and 12 days ago.

A well built mule, bred specifically in the high mountains for carrying
burdensome loads over long distances.

A mountain mule is very tired and is in an excellent condition.
A mountain mule is about to collapse and is in an excellent condition.
Your mount refuses to follow your orders!",,group_keyword_line,Your mount refuses to follow your orders!,low,yes
whois_anardil_1780899336,char_anardil,Anardil,Dúnadan Warden,"Anardil of Gondor, Sixth in the Line of Kings is a level
    forty-four Dúnadan Warden [Retired].
Last login 16 years and 7 days ago from [numerical address].

Being the son of Eärendil, Anardil ruled Gondor from the city of Osgiliath as
the sixth in the Line of Kings. Although not many events from his reign have
come to endure in the commemorated history, peace and brotherhood prevailed.
After eighty-seven years his son Ostoher succeeded him and created the custom
of the Kings spending summer in the city now commonly known as Minas Tirith.",,group_keyword_line,"come to endure in the commemorated history, peace and brotherhood prevailed.",medium,yes
whois_anneilbalkassoon_1780899380,char_anneilbalkassoon,AnneilBalkassoon,Troll,"AnneilBalkassoon the Olog-hai is a Troll [Retired].

Buffer of the Anneil clan",,group_keyword_line,Buffer of the Anneil clan,medium,yes
whois_anton_1780899413,char_anton,Anton,Silvan Wizard,"Anton Gorodeckij is a level thirty-seven Silvan Wizard [Retired].
Last login 15 years, 6 months, and 11 days ago from [numerical
    address].

Happily married to beautiful Arceleb.

The Day Leader of The Sacred Clan of The Green Star",,group_keyword_line,The Day Leader of The Sacred Clan of The Green Star,medium,yes
whois_araglas_1780899424,char_araglas,Araglas,Man,"Araglas Rider of Westmark is a Man [Retired].
Last login 12 years, 8 months, and 19 days ago.

Arise now, arise, Riders of Theoden!
Dire deeds awake, dark is eastward
Let horse be bridled, horn be sounded!
Forth Eorlingas!",,group_keyword_line,"Arise now, arise, Riders of Theoden!",low,yes
whois_ardent_1780899446,char_ardent,Ardent,Dwarven Patriarch,"Ardent the Faithful, Prophet of Durin's Army is a level forty-six
    Dwarven Patriarch [Retired].
Last login 6 months ago from [numerical address].",,group_keyword_line,"Ardent the Faithful, Prophet of Durin's Army is a level forty-six",low,yes
whois_asmandeus_1780902695,char_asmandeus,Asmandeus,Elf,"Asmandeus Acalladem of House Acalladem is an Elf [Retired].
Last login 16 years, 9 months, and 14 days ago.",,group_keyword_line,Asmandeus Acalladem of House Acalladem is an Elf [Retired].,medium,yes
whois_athela_1780902711,char_athela,Athela,Silvan Ranger,"Athela Athlorion, Lightbringer is a level forty-one Silvan Ranger
    [Retired].
Last login 2 years, 3 months, and 4 days ago from *.ee.

           Eraid galad.
              Matriarh of the House of Athlorion.",,group_keyword_line,Matriarh of the House of Athlorion.,medium,yes
whois_berg_1780903058,char_berg,Berg,"not a mage, cleric, or Swedish is a level twenty-six Black Númenórean Ranger","Berg is not a mage, cleric, or Swedish is a level twenty-six Black
    Númenórean Ranger [Retired].

i fight for all the old darkies who quit mume. i fight for all
the people with high ping. i fight for all those overkilled. if
you dont like my cause for fighting, screw yourself.",,group_keyword_line,"you dont like my cause for fighting, screw yourself.",low,yes
whois_bruni_1780907288,char_bruni,Bruni,Dwarven Patriarch,"Bruni Brighthead, Intelligent of Durin's House is a level forty
    Dwarven Patriarch [Retired].
Last login 13 years and 5 days ago from *.ee.",,group_keyword_line,"Bruni Brighthead, Intelligent of Durin's House is a level forty",medium,yes
whois_brynhilde_1780907305,char_brynhilde,Brynhilde,Dwarf,"Brynhilde Stonebreaker, Hearthguard of Berronar is a Dwarf
    [Retired].
Last login 3 months and 20 days ago.

This red haired, green eyed, dwarf wears the blue and silver trappings
of Berronar Truesilver, goddess of hearth and home. Like all hearth
guards, she wields a massive axe and a twin set of silver rings.",,group_keyword_line,"Brynhilde Stonebreaker, Hearthguard of Berronar is a Dwarf",low,yes
whois_brynhilde_1780907305,char_brynhilde,Brynhilde,Dwarf,"Brynhilde Stonebreaker, Hearthguard of Berronar is a Dwarf
    [Retired].
Last login 3 months and 20 days ago.

This red haired, green eyed, dwarf wears the blue and silver trappings
of Berronar Truesilver, goddess of hearth and home. Like all hearth
guards, she wields a massive axe and a twin set of silver rings.",,group_keyword_line,"guards, she wields a massive axe and a twin set of silver rings.",low,yes
whois_bulldozer_1780907338,char_bulldozer,Bulldozer,Mountain Troll Warrior,"Bulldozer the Earth Mover is a level twenty-seven Mountain Troll
    Warrior [Retired].
'Come not between the Trolls and their prey! Or
they will not pummel thee in thy turn. They will
bear thee away to the houses of the warrens, beyond
all darkness, where thy flesh shall be devoured, and
thy shrivelled bones be left naked to the unarmed hands.'

Motoring your way baby!

The Righteous Shall Fall before the Wicked!",,group_keyword_line,"bear thee away to the houses of the warrens, beyond",low,yes
whois_burst_1780907388,char_burst,Burst,Eriadorian Bodyguard,"Burst Brownnose is a level sixty-two Eriadorian Bodyguard
    [Retired].
Last login 21 years, 4 months, and 29 days ago from *.se.
(null)",,group_keyword_line,Burst Brownnose is a level sixty-two Eriadorian Bodyguard,low,yes
