title,base_class,who_class_group,gender,gender_confidence,source,classification_confidence,skill_requirement_notes,level_restriction_notes,race_restriction_notes,alignment_restriction_notes,notes
Adventurer,General,General,,,mume_class_title_list,medium,,,,,General who-class title; useful title evidence but weak skill evidence
Champion,General,General,,,mume_class_title_list,medium,,,,,General/prestige title
Chieftain,General,General,,,mume_class_title_list,medium,90%-100% Leadership,,,,Leadership title; skill threshold from user-provided list
Envoy,General,General,,,mume_class_title_list,medium,,,,,General/role title
Hero,General,General,,,mume_class_title_list,medium,,,,,General/prestige title; do not infer male gender from this alone
Heroine,General,General,female,high,mume_class_title_list,medium,,,,,Female-coded general/prestige title
Mountaineer,General,General,,,mume_class_title_list,medium,100% Climb + 50% Leadership,,,,Skill threshold from user-provided list
Ranger,General,General,,,mume_class_title_list,medium,High Track; exact requirement uncertain and probably not 100%+,,,,User note: Ranger appears available with 90% Track; likely depends on multiple skills
Rider,General,General,,,mume_class_title_list,medium,90% Ride,,,,Skill threshold from user-provided list
Axemaster,Warrior,Warrior,,,mume_class_title_list,high,100% cleaving weapons,,,,Weapon-specialist warrior title; do not infer male gender from Master alone
Axemistress,Warrior,Warrior,female,high,mume_class_title_list,high,100% cleaving weapons,,,,Female-coded weapon-specialist warrior title
Battlemaster,Warrior,Warrior,,,mume_class_title_list,high,,,,,Warrior title; do not infer male gender from Master alone
Battlemistress,Warrior,Warrior,female,high,mume_class_title_list,high,,,,,Female-coded warrior title
Bodyguard,Warrior,Warrior,,,mume_class_title_list,high,80% Rescue,,,,Skill threshold from user-provided list
Soldier,Warrior,Warrior,,,mume_class_title_list,high,,,,,Gender-neutral martial title
Veteran,Warrior,Warrior,,,mume_class_title_list,high,,,,,Gender-neutral martial title
Warden,Warrior,Warrior,,,mume_class_title_list,high,75% Bash,,,,Skill threshold from user-provided list
Weaponsmaster,Warrior,Warrior,,,mume_class_title_list,high,Unknown percent in at least two weapon skills,,,,Weapon-specialist warrior title; do not infer male gender from Master alone
Weaponsmistress,Warrior,Warrior,female,high,mume_class_title_list,high,Unknown percent in at least two weapon skills,,,,Female-coded weapon-specialist warrior title
Archer,Thief,Thief,,,mume_class_title_list,medium,Unknown percent Missile,,,,Ranged/thief-list title
Assassin,Thief,Thief,,,mume_class_title_list,high,,,,,Thief who-class title
Hunter,Thief,Thief,,,mume_class_title_list,medium,,,,,Thief who-class title; may overlap outdoor/combat roleplay
Scout,Thief,Thief,,,mume_class_title_list,high,,,,,Thief who-class title
Quickblade,Thief,Thief,,,mume_class_title_list,high,,,,,Thief who-class title
Cut-Throat,Thief,Thief,,,mume_class_title_list,medium,,,Possibly orc-only; uncertain,,Race restriction uncertain
Footpad,Thief,Thief,,,mume_class_title_list,high,,,,,Thief who-class title
Murderer,Thief,Thief,,,mume_class_title_list,medium,,,,,Thief/criminal title; gender inference from -er not used
Murderess,Thief,Thief,female,high,mume_class_title_list,medium,,,,,Female-coded thief/criminal title
Healer,Cleric,Cleric,,,mume_class_title_list,high,,,,,Cleric who-class title
Master Healer,Cleric,Cleric,,,mume_class_title_list,high,,,,,Cleric healing title; do not infer male gender from Master alone
Mistress of Healing,Cleric,Cleric,female,high,mume_class_title_list,high,,,,,Female-coded cleric healing title
Necromancer,Cleric,Cleric,,,mume_class_title_list,high,,,,,Listed under Cleric classes in user-provided MUME class list
Priest,Cleric,Cleric,,,mume_class_title_list,high,,,,,Cleric title; gender evidence should be treated cautiously
Priestess,Cleric,Cleric,female,high,mume_class_title_list,high,,,,,Female-coded cleric title
Patriarch,Cleric,Cleric,male,high,mume_class_title_list,high,,,,,Male-coded cleric title
Matriarch,Cleric,Cleric,female,high,mume_class_title_list,high,,,,,Female-coded cleric title
